Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Summary Level,Geographic Component,State (FIPS),County,County Size Code,County Subdivision (FIPS),Census Tract,Total population: Population in group quarters: Institutionalized population: Correctional institutions
Census Tract 4001,"Census Tract 4001, Alameda County, California",6001400100,140,0,6,1,21,,400100,0
Census Tract 4002,"Census Tract 4002, Alameda County, California",6001400200,140,0,6,1,21,,400200,0
Census Tract 4003,"Census Tract 4003, Alameda County, California",6001400300,140,0,6,1,21,,400300,0
Census Tract 4004,"Census Tract 4004, Alameda County, California",6001400400,140,0,6,1,21,,400400,31
Census Tract 4005,"Census Tract 4005, Alameda County, California",6001400500,140,0,6,1,21,,400500,0
Census Tract 4006,"Census Tract 4006, Alameda County, California",6001400600,140,0,6,1,21,,400600,0
Census Tract 4007,"Census Tract 4007, Alameda County, California",6001400700,140,0,6,1,21,,400700,0
Census Tract 4008,"Census Tract 4008, Alameda County, California",6001400800,140,0,6,1,21,,400800,0
Census Tract 4009,"Census Tract 4009, Alameda County, California",6001400900,140,0,6,1,21,,400900,0
Census Tract 4010,"Census Tract 4010, Alameda County, California",6001401000,140,0,6,1,21,,401000,3
Census Tract 4011,"Census Tract 4011, Alameda County, California",6001401100,140,0,6,1,21,,401100,0
Census Tract 4012,"Census Tract 4012, Alameda County, California",6001401200,140,0,6,1,21,,401200,29
Census Tract 4013,"Census Tract 4013, Alameda County, California",6001401300,140,0,6,1,21,,401300,6
Census Tract 4014,"Census Tract 4014, Alameda County, California",6001401400,140,0,6,1,21,,401400,0
Census Tract 4015,"Census Tract 4015, Alameda County, California",6001401500,140,0,6,1,21,,401500,0
Census Tract 4016,"Census Tract 4016, Alameda County, California",6001401600,140,0,6,1,21,,401600,0
Census Tract 4017,"Census Tract 4017, Alameda County, California",6001401700,140,0,6,1,21,,401700,0
Census Tract 4018,"Census Tract 4018, Alameda County, California",6001401800,140,0,6,1,21,,401800,0
Census Tract 4022,"Census Tract 4022, Alameda County, California",6001402200,140,0,6,1,21,,402200,0
Census Tract 4024,"Census Tract 4024, Alameda County, California",6001402400,140,0,6,1,21,,402400,11
Census Tract 4025,"Census Tract 4025, Alameda County, California",6001402500,140,0,6,1,21,,402500,0
Census Tract 4026,"Census Tract 4026, Alameda County, California",6001402600,140,0,6,1,21,,402600,0
Census Tract 4027,"Census Tract 4027, Alameda County, California",6001402700,140,0,6,1,21,,402700,0
Census Tract 4028,"Census Tract 4028, Alameda County, California",6001402800,140,0,6,1,21,,402800,0
Census Tract 4029,"Census Tract 4029, Alameda County, California",6001402900,140,0,6,1,21,,402900,0
Census Tract 4030,"Census Tract 4030, Alameda County, California",6001403000,140,0,6,1,21,,403000,0
Census Tract 4031,"Census Tract 4031, Alameda County, California",6001403100,140,0,6,1,21,,403100,801
Census Tract 4033,"Census Tract 4033, Alameda County, California",6001403300,140,0,6,1,21,,403300,0
Census Tract 4034,"Census Tract 4034, Alameda County, California",6001403400,140,0,6,1,21,,403400,0
Census Tract 4035.01,"Census Tract 4035.01, Alameda County, California",6001403501,140,0,6,1,21,,403501,0
