Area Name,County Number
"Alameda County, California",1
"Alpine County, California",3
"Amador County, California",5
"Butte County, California",7
"Calaveras County, California",9
"Colusa County, California",11
"Contra Costa County, California",13
"Del Norte County, California",15
"El Dorado County, California",17
"Fresno County, California",19
"Glenn County, California",21
"Humboldt County, California",23
"Imperial County, California",25
"Inyo County, California",27
"Kern County, California",29
"Kings County, California",31
"Lake County, California",33
"Lassen County, California",35
"Los Angeles County, California",37
"Madera County, California",39
"Marin County, California",41
"Mariposa County, California",43
"Mendocino County, California",45
"Merced County, California",47
"Modoc County, California",49
"Mono County, California",51
"Monterey County, California",53
"Napa County, California",55
"Nevada County, California",57
"Orange County, California",59
"Placer County, California",61
"Plumas County, California",63
"Riverside County, California",65
"Sacramento County, California",67
"San Benito County, California",69
"San Bernardino County, California",71
"San Diego County, California",73
"San Francisco County, California",75
"San Joaquin County, California",77
"San Luis Obispo County, California",79
"San Mateo County, California",81
"Santa Barbara County, California",83
"Santa Clara County, California",85
"Santa Cruz County, California",87
"Shasta County, California",89
"Sierra County, California",91
"Siskiyou County, California",93
"Solano County, California",95
"Sonoma County, California",97
"Stanislaus County, California",99
"Sutter County, California",101
"Tehama County, California",103
"Trinity County, California",105
"Tulare County, California",107
"Tuolumne County, California",109
"Ventura County, California",111
"Yolo County, California",113
"Yuba County, California",115
