Area Name,County Number
ALAMEDA COUNTY,1
ALPINE COUNTY,3
AMADOR COUNTY,5
BUTTE COUNTY,7
CALAVERAS COUNTY,9
COLUSA COUNTY,11
CONTRA COSTA COUNTY,13
DEL NORTE COUNTY,15
EL DORADO COUNTY,17
FRESNO COUNTY,19
GLENN COUNTY,21
HUMBOLDT COUNTY,23
IMPERIAL COUNTY,25
INYO COUNTY,27
KERN COUNTY,29
KINGS COUNTY,31
LAKE COUNTY,33
LASSEN COUNTY,35
LOS ANGELES COUNTY,37
MADERA COUNTY,39
MARIN COUNTY,41
MARIPOSA COUNTY,43
MENDOCINO COUNTY,45
MERCED COUNTY,47
MODOC COUNTY,49
MONO COUNTY,51
MONTEREY COUNTY,53
NAPA COUNTY,55
NEVADA COUNTY,57
ORANGE COUNTY,59
PLACER COUNTY,61
PLUMAS COUNTY,63
RIVERSIDE COUNTY,65
SACRAMENTO COUNTY,67
SAN BENITO COUNTY,69
SAN BERNARDINO COUNTY,71
SAN DIEGO COUNTY,73
SAN FRANCISCO COUNTY,75
SAN JOAQUIN COUNTY,77
SAN LUIS OBISPO COUNTY,79
SAN MATEO COUNTY,81
SANTA BARBARA COUNTY,83
SANTA CLARA COUNTY,85
SANTA CRUZ COUNTY,87
SHASTA COUNTY,89
SIERRA COUNTY,91
SISKIYOU COUNTY,93
SOLANO COUNTY,95
SONOMA COUNTY,97
STANISLAUS COUNTY,99
SUTTER COUNTY,101
TEHAMA COUNTY,103
TRINITY COUNTY,105
TULARE COUNTY,107
TUOLUMNE COUNTY,109
VENTURA COUNTY,111
YOLO COUNTY,113
YUBA COUNTY,115
